Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014, 10, 1, 1, 9, 36, 2.08, 19.06, 1.83
2014, 10, 1, 1, 9, 37, 2.00, 19.38, 1.87
2014, 10, 1, 1, 9, 39, 2.10, 18.50, 1.83
2014, 10, 1, 1, 9, 40, 2.13, 16.97, 1.83
2014, 10, 1, 1, 9, 41, 1.95, 19.06, 1.83
2014, 10, 1, 1, 9, 42, 1.87, 18.98, 1.83
2014, 10, 1, 1, 9, 43, 1.90, 18.98, 1.83
2014, 10, 1, 1, 9, 44, 2.03, 18.42, 1.83
2014, 10, 1, 1, 9, 45, 2.05, 18.74, 1.87
2014, 10, 1, 1, 9, 46, 2.00, 18.98, 1.83
2014, 10, 1, 1, 9, 47, 2.03, 18.34, 1.83
2014, 10, 1, 1, 9, 48, 1.93, 18.98, 1.83
2014, 10, 1, 1, 9, 49, 2.23, 19.38, 1.83
2014, 10, 1, 1, 9, 51, 1.90, 19.30, 1.83
2014, 10, 1, 1, 9, 52, 2.08, 18.90, 1.87
2014, 10, 1, 1, 9, 53, 2.15, 17.37, 1.80
2014, 10, 1, 1, 9, 54, 2.05, 18.90, 1.83
2014, 10, 1, 1, 9, 55, 2.60, 17.77, 1.83
2014, 10, 1, 1, 9, 56, 2.18, 19.30, 1.83
2014, 10, 1, 1, 9, 57, 2.13, 16.73, 1.83
2014, 10, 1, 1, 9, 58, 2.03, 19.22, 1.80
2014, 10, 1, 1, 9, 59, 2.13, 17.13, 1.80
2014, 10, 1, 1, 10, 1, 2.08, 18.58, 1.83
2014, 10, 1, 1, 10, 2, 2.03, 18.26, 1.83
2014, 10, 1, 1, 10, 3, 2.15, 18.10, 1.80
2014, 10, 1, 1, 10, 4, 2.03, 19.06, 1.80
2014, 10, 1, 1, 10, 5, 2.10, 16.97, 1.80
2014, 10, 1, 1, 10, 6, 2.13, 18.34, 1.83
2014, 10, 1, 1, 10, 7, 2.00, 18.42, 1.80
2014, 10, 1, 1, 10, 8, 2.05, 19.47, 1.83
2014, 10, 1, 1, 10, 10, 2.03, 19.38, 1.80
2014, 10, 1, 1, 10, 11, 2.05, 18.34, 1.80
2014, 10, 1, 1, 10, 12, 2.00, 18.66, 1.80
2014, 10, 1, 1, 10, 13, 2.13, 19.38, 1.83
2014, 10, 1, 1, 10, 14, 2.13, 16.89, 1.83
2014, 10, 1, 1, 10, 15, 2.13, 18.74, 1.83
2014, 10, 1, 1, 10, 16, 2.18, 18.50, 1.83
2014, 10, 1, 1, 10, 17, 2.03, 19.63, 1.80
2014, 10, 1, 1, 10, 18, 2.13, 18.26, 1.83
2014, 10, 1, 1, 10, 19, 2.10, 18.42, 1.83
2014, 10, 1, 1, 10, 20, 2.15, 17.45, 1.83
2014, 10, 1, 1, 10, 22, 2.13, 18.26, 1.83
2014, 10, 1, 1, 10, 23, 2.45, 18.26, 1.80
2014, 10, 1, 1, 10, 24, 2.15, 17.21, 1.80
2014, 10, 1, 1, 10, 25, 2.05, 19.47, 1.80
2014, 10, 1, 1, 10, 26, 2.13, 16.64, 1.83
2014, 10, 1, 1, 10, 27, 2.10, 18.98, 1.83
2014, 10, 1, 1, 10, 28, 1.93, 18.58, 1.83
2014, 10, 1, 1, 10, 29, 2.13, 18.74, 1.83
2014, 10, 1, 1, 10, 30, 2.15, 16.64, 1.83
2014, 10, 1, 1, 10, 31, 2.15, 17.13, 1.83
2014, 10, 1, 1, 10, 33, 2.18, 18.10, 1.83
2014, 10, 1, 1, 10, 34, 2.15, 17.53, 1.83
2014, 10, 1, 1, 10, 35, 2.03, 19.71, 1.83
2014, 10, 1, 1, 10, 36, 2.13, 18.74, 1.83
2014, 10, 1, 1, 10, 37, 2.03, 18.18, 1.83
2014, 10, 1, 1, 10, 38, 2.05, 18.26, 1.83
2014, 10, 1, 1, 10, 39, 2.15, 17.69, 1.83
2014, 10, 1, 1, 10, 40, 2.13, 18.50, 1.83
2014, 10, 1, 1, 10, 41, 2.15, 17.61, 1.83
2014, 10, 1, 1, 10, 42, 2.05, 18.66, 1.87
2014, 10, 1, 1, 10, 43, 2.15, 16.81, 1.83
2014, 10, 1, 1, 10, 45, 2.08, 19.14, 1.83
2014, 10, 1, 1, 10, 46, 2.18, 18.66, 1.83
2014, 10, 1, 1, 10, 47, 2.18, 18.26, 1.83
2014, 10, 1, 1, 10, 48, 2.00, 19.47, 1.83
2014, 10, 1, 1, 10, 49, 2.10, 19.30, 1.83
2014, 10, 1, 1, 10, 50, 2.15, 17.85, 1.87
2014, 10, 1, 1, 10, 51, 2.15, 17.37, 1.83
2014, 10, 1, 1, 10, 52, 2.08, 18.98, 1.83
2014, 10, 1, 1, 10, 53, 2.13, 18.98, 1.87
2014, 10, 1, 1, 10, 54, 2.18, 18.82, 1.83
2014, 10, 1, 1, 10, 56, 2.18, 17.77, 1.87
2014, 10, 1, 1, 10, 57, 2.18, 17.77, 1.83
2014, 10, 1, 1, 10, 58, 2.00, 18.66, 1.87
2014, 10, 1, 1, 10, 59, 2.18, 18.90, 1.83
2014, 10, 1, 1, 11, 0, 2.08, 18.82, 1.87
2014, 10, 1, 1, 11, 1, 2.05, 18.82, 1.83
2014, 10, 1, 1, 11, 2, 2.03, 19.22, 1.87
2014, 10, 1, 1, 11, 3, 2.13, 18.74, 1.87
2014, 10, 1, 1, 11, 4, 2.05, 18.90, 1.87
2014, 10, 1, 1, 11, 5, 1.93, 18.66, 1.90
2014, 10, 1, 1, 11, 7, 2.00, 21.56, 1.87
2014, 10, 1, 1, 11, 8, 2.05, 18.58, 1.87
2014, 10, 1, 1, 11, 9, 2.03, 18.66, 1.87
2014, 10, 1, 1, 11, 10, 2.08, 18.58, 1.87
2014, 10, 1, 1, 11, 11, 2.13, 17.61, 1.87
2014, 10, 1, 1, 11, 12, 2.18, 18.58, 1.87
2014, 10, 1, 1, 11, 13, 2.15, 17.45, 1.87
2014, 10, 1, 1, 11, 15, 2.15, 18.01, 1.90
2014, 10, 1, 1, 11, 16, 2.15, 17.21, 2.00
2014, 10, 1, 1, 11, 17, 2.65, 18.74, 2.17
2014, 10, 1, 1, 11, 18, 3.29, 18.18, 2.44
2014, 10, 1, 1, 11, 19, 4.12, 17.93, 2.67
2014, 10, 1, 1, 11, 20, 4.33, 19.22, 2.91
2014, 10, 1, 1, 11, 21, 4.76, 18.26, 3.21
