Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014, 10, 1, 1, 4, 21, 22.54, 23.90, 23.91
2014, 10, 1, 1, 4, 22, 22.68, 25.11, 23.91
2014, 10, 1, 1, 4, 23, 22.65, 23.41, 23.91
2014, 10, 1, 1, 4, 24, 22.65, 23.58, 23.87
2014, 10, 1, 1, 4, 25, 22.72, 24.06, 23.87
2014, 10, 1, 1, 4, 27, 22.63, 24.54, 23.87
2014, 10, 1, 1, 4, 28, 22.65, 23.58, 23.87
2014, 10, 1, 1, 4, 29, 22.68, 24.06, 23.87
2014, 10, 1, 1, 4, 30, 22.63, 23.82, 23.87
2014, 10, 1, 1, 4, 31, 22.68, 24.14, 23.87
2014, 10, 1, 1, 4, 32, 22.63, 23.41, 23.84
2014, 10, 1, 1, 4, 33, 22.72, 23.74, 23.84
2014, 10, 1, 1, 4, 34, 22.63, 23.41, 23.84
2014, 10, 1, 1, 4, 35, 22.65, 23.90, 23.84
2014, 10, 1, 1, 4, 36, 22.61, 23.33, 23.84
2014, 10, 1, 1, 4, 37, 23.28, 24.54, 23.81
2014, 10, 1, 1, 4, 39, 22.76, 25.03, 23.84
2014, 10, 1, 1, 4, 40, 22.83, 23.66, 23.84
2014, 10, 1, 1, 4, 41, 21.85, 30.99, 23.84
2014, 10, 1, 1, 4, 42, 21.25, 35.66, 23.81
2014, 10, 1, 1, 4, 43, 21.70, 32.12, 23.81
2014, 10, 1, 1, 4, 44, 21.94, 31.55, 23.81
2014, 10, 1, 1, 4, 46, 21.83, 32.44, 23.81
2014, 10, 1, 1, 4, 47, 22.09, 29.62, 23.81
2014, 10, 1, 1, 4, 48, 22.50, 27.12, 23.84
2014, 10, 1, 1, 4, 49, 22.37, 26.96, 23.84
2014, 10, 1, 1, 4, 50, 22.48, 27.20, 23.84
2014, 10, 1, 1, 4, 51, 22.54, 27.36, 23.87
2014, 10, 1, 1, 4, 52, 22.37, 28.17, 23.87
2014, 10, 1, 1, 4, 53, 21.83, 33.16, 23.87
2014, 10, 1, 1, 4, 54, 22.02, 30.75, 23.91
2014, 10, 1, 1, 4, 55, 22.59, 26.88, 23.91
2014, 10, 1, 1, 4, 56, 23.04, 22.29, 23.91
2014, 10, 1, 1, 4, 58, 22.96, 23.58, 23.91
2014, 10, 1, 1, 4, 59, 23.87, 21.16, 23.91
2014, 10, 1, 1, 5, 0, 23.31, 21.24, 23.94
2014, 10, 1, 1, 5, 1, 23.41, 21.96, 23.98
2014, 10, 1, 1, 5, 2, 23.46, 21.88, 23.98
2014, 10, 1, 1, 5, 3, 23.57, 21.64, 23.98
2014, 10, 1, 1, 5, 4, 23.59, 21.32, 23.98
2014, 10, 1, 1, 5, 5, 23.63, 20.11, 24.01
2014, 10, 1, 1, 5, 6, 23.48, 22.37, 24.04
2014, 10, 1, 1, 5, 7, 23.63, 21.72, 24.01
2014, 10, 1, 1, 5, 9, 23.70, 22.04, 24.04
2014, 10, 1, 1, 5, 10, 23.70, 21.64, 24.04
2014, 10, 1, 1, 5, 11, 23.57, 21.64, 24.08
2014, 10, 1, 1, 5, 12, 23.72, 21.80, 24.11
2014, 10, 1, 1, 5, 13, 23.81, 21.24, 24.11
2014, 10, 1, 1, 5, 14, 23.78, 22.12, 24.11
2014, 10, 1, 1, 5, 15, 23.76, 20.84, 24.11
2014, 10, 1, 1, 5, 16, 23.78, 22.12, 24.14
2014, 10, 1, 1, 5, 17, 23.81, 22.04, 24.18
2014, 10, 1, 1, 5, 18, 23.83, 21.56, 24.21
2014, 10, 1, 1, 5, 19, 23.85, 21.48, 24.18
2014, 10, 1, 1, 5, 21, 23.85, 23.25, 24.21
2014, 10, 1, 1, 5, 22, 23.94, 21.72, 24.25
2014, 10, 1, 1, 5, 23, 23.96, 21.56, 24.25
2014, 10, 1, 1, 5, 24, 24.00, 21.80, 24.25
2014, 10, 1, 1, 5, 25, 24.00, 22.04, 24.28
2014, 10, 1, 1, 5, 26, 24.02, 22.37, 24.31
2014, 10, 1, 1, 5, 27, 24.13, 22.12, 24.31
2014, 10, 1, 1, 5, 28, 24.05, 22.45, 24.35
2014, 10, 1, 1, 5, 29, 24.09, 22.29, 24.41
2014, 10, 1, 1, 5, 30, 24.11, 22.37, 24.65
2014, 10, 1, 1, 5, 32, 23.96, 21.56, 25.02
2014, 10, 1, 1, 5, 33, 24.20, 20.43, 25.33
2014, 10, 1, 1, 5, 34, 24.57, 21.64, 25.57
2014, 10, 1, 1, 5, 35, 25.74, 21.56, 25.77
2014, 10, 1, 1, 5, 36, 26.49, 21.08, 25.90
2014, 10, 1, 1, 5, 37, 26.51, 20.11, 26.00
2014, 10, 1, 1, 5, 38, 26.40, 20.27, 26.07
2014, 10, 1, 1, 5, 39, 26.07, 20.19, 26.14
2014, 10, 1, 1, 5, 40, 26.69, 20.11, 26.17
2014, 10, 1, 1, 5, 41, 26.89, 21.32, 26.21
2014, 10, 1, 1, 5, 42, 27.07, 19.87, 26.21
2014, 10, 1, 1, 5, 44, 27.14, 21.24, 26.24
2014, 10, 1, 1, 5, 45, 27.21, 19.87, 26.28
2014, 10, 1, 1, 5, 46, 27.25, 19.79, 26.31
2014, 10, 1, 1, 5, 47, 27.32, 21.64, 26.31
2014, 10, 1, 1, 5, 48, 27.21, 21.16, 26.31
2014, 10, 1, 1, 5, 49, 27.07, 20.75, 26.31
2014, 10, 1, 1, 5, 51, 27.47, 20.35, 26.31
2014, 10, 1, 1, 5, 52, 26.80, 20.92, 26.34
2014, 10, 1, 1, 5, 53, 26.69, 21.00, 26.31
2014, 10, 1, 1, 5, 54, 26.83, 21.00, 26.31
2014, 10, 1, 1, 5, 55, 26.78, 19.63, 26.31
2014, 10, 1, 1, 5, 56, 26.78, 21.16, 26.31
2014, 10, 1, 1, 5, 57, 26.67, 20.43, 26.34
2014, 10, 1, 1, 5, 58, 26.40, 22.53, 26.34
2014, 10, 1, 1, 5, 59, 26.40, 20.19, 26.38
